event_id_cnty,event_date,year,event_type,sub_event_type,actor1,actor2,country,admin1,admin2,location,latitude,longitude,fatalities
KEN3238,2012-06-12,2012,Riots,Violent demonstration,Rioters (Kenya),,Kenya,Bungoma,Kanduyi,Kibabii,0.6199,34.5275,0
KEN3239,2012-06-12,2012,Protests,Protest with intervention,Protesters (Kenya),Police Forces of Kenya (2002-2013),Kenya,Nyamira,Borabu,Sotik Tea Estate,-0.5862,35.0496,0
KEN3242,2012-06-13,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Busia,Nambale,Bukhayo,0.5,34.25,0
KEN3243,2012-06-13,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Busia,Nambale,Bukhayo,0.5,34.25,0
KEN3244,2012-06-13,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Busia,Nambale,Igara,0.5333,34.3667,0
KEN3245,2012-06-13,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Busia,Nambale,Lupida,0.5,34.3333,0
KEN3248,2012-06-15,2012,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Garissa,Dadaab,Dadaab Refugee Camp,0.0514,40.3142,0
KEN3221,2012-06-01,2012,Violence against civilians,Attack,Merrile Ethnic Militia (Ethiopia),Civilians (Kenya),Kenya,Turkana,Turkana North,Todenyang,4.5333,35.9333,1
KEN3241,2012-06-13,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Mombasa,Kisauni,Kisauni,-4.0333,39.6833,0
KEN3204,2012-05-07,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nyandarua,Kinangop,Mai Mahiu,-0.5833,36.6167,0
KEN3229,2012-06-06,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nakuru,Nakuru North,Nakuru,-0.2441,36.142,0
KEN3213,2012-05-23,2012,Battles,Armed clash,Unidentified Armed Group (Kenya),Unidentified Armed Group (Kenya),Kenya,Narok,Transmara West,Mara North Conservancy,-1.4167,34.9167,0
KEN3249,2012-06-15,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Somalia),Kenya,Garissa,Dadaab,Dadaab Refugee Camp,0.0514,40.3142,0
KEN3246,2012-06-14,2012,Strategic developments,Change to group/activity,Police Forces of Kenya (2002-2013),,Kenya,Nairobi,Starehe,Nairobi,-1.283,36.817,0
KEN3205,2012-05-08,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Nairobi,Kamukunji,Nairobi - Kamukunji,-1.2759,36.8526,0
KEN3209,2012-05-15,2012,Explosions/Remote violence,Grenade,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,1
KEN3210,2012-05-17,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,0
KEN3224,2012-06-03,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,0
KEN3234,2012-06-11,2012,Protests,Peaceful protest,Protesters (Kenya),,Kenya,Mombasa,Mvita,Mombasa,-4.0547,39.6636,0
KEN3223,2012-06-03,2012,Violence against civilians,Attack,Unidentified Armed Group (Kenya),Civilians (Kenya),Kenya,Mombasa,Nyali,Ganjoni,-4.0644,39.6607,0
